리뷰ID,날짜(시간),상품카테고리,상품,채널,별점,리뷰원문
RV0024,2025-09-14 23:33,뷰티,수분 크림,아마존,3,수분 크림 품질은 무난한데 딱히 특별하진 않아요.
RV0025,2025-09-15 11:40,의류,데일리 후드집업,아마존,1,데일리 후드집업 며칠 쓰니까 벌써 하자가 생겼어요.
RV0026,2025-09-15 16:00,리빙,극세사 이불세트,네이버쇼핑,4,극세사 이불세트 주문한 다음 날 바로 받아서 좋았어요.
RV0027,2025-09-15 19:47,의류,슬림핏 슬랙스,아마존,4,슬림핏 슬랙스 이 가격에 이 정도면 가성비 최고예요.
RV0028,2025-09-16 12:33,의류,슬림핏 슬랙스,쿠팡,4,슬림핏 슬랙스 배송이 생각보다 빨라서 만족합니다.
RV0029,2025-09-16 15:20,신발,쿠션 러닝화,네이버쇼핑,3,쿠션 러닝화 품질은 무난한데 딱히 특별하진 않아요.
RV0030,2025-09-17 10:02,가전,무선 스틱청소기,네이버쇼핑,5,무선 스틱청소기 이 가격에 이 정도면 가성비 최고예요.
RV0031,2025-09-17 20:34,의류,슬림핏 슬랙스,네이버쇼핑,3,슬림핏 슬랙스 배송은 예정보다 하루 늦었지만 큰 불편은 없었어요.
RV0032,2025-09-18 09:38,리빙,극세사 이불세트,CS 이메일,4,극세사 이불세트 주문한 다음 날 바로 받아서 좋았어요.
RV0033,2025-09-18 22:26,리빙,극세사 이불세트,자사 웹,4,극세사 이불세트 포장이 꼼꼼해서 선물하기도 좋았어요.
RV0034,2025-09-19 08:38,의류,데일리 후드집업,쿠팡,5,데일리 후드집업 교환 요청했더니 바로 처리해줘서 좋았어요.
RV0035,2025-09-19 14:33,신발,캔버스 스니커즈,네이버쇼핑,2,캔버스 스니커즈 배송 추적이 중간에 멈춰서 불안했어요.
RV0036,2025-09-20 10:26,식품,콜드브루 원두,네이버쇼핑,3,콜드브루 원두 품질은 무난한데 딱히 특별하진 않아요.
RV0037,2025-09-21 16:26,신발,캔버스 스니커즈,아마존,5,캔버스 스니커즈 포장이 꼼꼼해서 선물하기도 좋았어요.
RV0038,2025-09-22 12:37,리빙,극세사 이불세트,CS 이메일,5,극세사 이불세트 배송이 생각보다 빨라서 만족합니다.
RV0039,2025-09-22 14:28,신발,캔버스 스니커즈,자사 웹,4,캔버스 스니커즈 배송이 생각보다 빨라서 만족합니다.
RV0040,2025-09-23 10:17,가전,미니 가습기,CS 이메일,4,미니 가습기 튼튼하게 잘 만들어진 것 같아요.
RV0041,2025-09-24 08:04,리빙,접이식 좌식테이블,네이버쇼핑,4,접이식 좌식테이블 교환 요청했더니 바로 처리해줘서 좋았어요.
RV0042,2025-09-24 14:10,뷰티,수분 크림,CS 이메일,4,수분 크림 생각보다 마감이 꼼꼼해서 놀랐어요.
RV0043,2025-09-24 18:24,의류,슬림핏 슬랙스,자사 웹,3,슬림핏 슬랙스 배송은 예정보다 하루 늦었지만 큰 불편은 없었어요.
RV0044,2025-09-24 20:16,의류,데일리 후드집업,자사 웹,4,데일리 후드집업 배송이 생각보다 빨라서 만족합니다.
RV0045,2025-09-25 15:28,식품,콜드브루 원두,네이버쇼핑,1,콜드브루 원두 완충재가 거의 없어서 놀랐습니다.
RV0046,2025-09-26 23:40,뷰티,저자극 선크림,네이버쇼핑,3,저자극 선크림 포장은 평범했어요.
RV0047,2025-09-27 12:55,리빙,극세사 이불세트,아마존,3,극세사 이불세트 가격은 딱 평균 수준인 것 같아요.
RV0048,2025-09-28 09:43,가전,미니 가습기,네이버쇼핑,5,미니 가습기 포장이 꼼꼼해서 선물하기도 좋았어요.
RV0049,2025-09-28 15:05,식품,콜드브루 원두,네이버쇼핑,3,콜드브루 원두 CS 응답은 빠른데 안내가 좀 부족했어요.
RV0050,2025-09-28 21:50,의류,데일리 후드집업,CS 이메일,4,데일리 후드집업 이 가격에 이 정도면 가성비 최고예요.
RV0051,2025-10-01 21:04,의류,데일리 후드집업,CS 이메일,5,데일리 후드집업 교환 요청했더니 바로 처리해줘서 좋았어요.
RV0052,2025-10-02 21:29,식품,콜드브루 원두,쿠팡,1,콜드브루 원두 며칠 쓰니까 벌써 하자가 생겼어요.
RV0053,2025-10-03 16:47,리빙,극세사 이불세트,네이버쇼핑,2,극세사 이불세트 가격 대비 품질이 아쉬워요.
RV0054,2025-10-04 18:45,신발,쿠션 러닝화,CS 이메일,3,쿠션 러닝화 가격은 딱 평균 수준인 것 같아요.
RV0055,2025-10-05 08:02,가전,미니 가습기,자사 웹,5,미니 가습기 생각보다 마감이 꼼꼼해서 놀랐어요.
RV0056,2025-10-05 18:56,가전,무선 스틱청소기,아마존,2,무선 스틱청소기 받아보니 박스가 찌그러져서 왔습니다.
RV0057,2025-10-06 20:30,뷰티,저자극 선크림,자사 웹,3,저자극 선크림 CS 응답은 빠른데 안내가 좀 부족했어요.
RV0058,2025-10-07 13:07,의류,슬림핏 슬랙스,자사 웹,1,슬림핏 슬랙스 상자가 파손된 채로 도착했어요.
RV0059,2025-10-07 15:32,식품,견과류 선물세트,네이버쇼핑,4,견과류 선물세트 교환 요청했더니 바로 처리해줘서 좋았어요.
RV0060,2025-10-07 19:58,뷰티,수분 크림,네이버쇼핑,4,수분 크림 생각보다 마감이 꼼꼼해서 놀랐어요.
RV0061,2025-10-08 16:42,가전,미니 가습기,아마존,4,미니 가습기 포장이 꼼꼼해서 선물하기도 좋았어요.
RV0062,2025-10-09 16:39,식품,콜드브루 원두,CS 이메일,3,콜드브루 원두 품질은 무난한데 딱히 특별하진 않아요.
RV0063,2025-10-09 21:01,식품,견과류 선물세트,CS 이메일,3,견과류 선물세트 배송은 예정보다 하루 늦었지만 큰 불편은 없었어요.
RV0064,2025-10-11 10:34,리빙,접이식 좌식테이블,CS 이메일,3,접이식 좌식테이블 포장은 평범했어요.
RV0065,2025-10-12 19:01,가전,미니 가습기,CS 이메일,1,미니 가습기 포장이 부실해서 배송 중 파손됐어요.
RV0066,2025-10-12 22:08,의류,슬림핏 슬랙스,CS 이메일,4,슬림핏 슬랙스 주문한 다음 날 바로 받아서 좋았어요.
RV0067,2025-10-13 11:27,의류,슬림핏 슬랙스,CS 이메일,5,슬림핏 슬랙스 생각보다 마감이 꼼꼼해서 놀랐어요.
RV0068,2025-10-13 19:21,식품,콜드브루 원두,CS 이메일,2,콜드브루 원두 완충재가 거의 없어서 놀랐습니다.
RV0069,2025-10-13 23:41,가전,무선 스틱청소기,아마존,3,무선 스틱청소기 품질은 무난한데 딱히 특별하진 않아요.
RV0070,2025-10-15 14:28,가전,미니 가습기,아마존,1,미니 가습기 포장이 부실해서 배송 중 파손됐어요.
RV0071,2025-10-15 21:32,식품,견과류 선물세트,쿠팡,2,견과류 선물세트 배송 추적이 중간에 멈춰서 불안했어요.
RV0072,2025-10-16 19:13,식품,견과류 선물세트,CS 이메일,5,견과류 선물세트 교환 요청했더니 바로 처리해줘서 좋았어요.
RV0073,2025-10-16 21:18,신발,쿠션 러닝화,쿠팡,3,쿠션 러닝화 CS 응답은 빠른데 안내가 좀 부족했어요.
RV0074,2025-10-17 11:40,의류,슬림핏 슬랙스,아마존,5,슬림핏 슬랙스 이 가격에 이 정도면 가성비 최고예요.
RV0075,2025-10-17 11:59,신발,캔버스 스니커즈,쿠팡,3,캔버스 스니커즈 사이즈는 평소 사이즈로 주문하면 될 것 같아요.
RV0076,2025-10-17 17:29,뷰티,저자극 선크림,네이버쇼핑,2,저자극 선크림 반품 절차가 복잡해서 힘들었어요.
RV0077,2025-10-17 18:51,리빙,접이식 좌식테이블,자사 웹,1,접이식 좌식테이블 세일가로 산 사람들보다 비싸게 사서 속상해요.
RV0078,2025-10-18 14:55,리빙,접이식 좌식테이블,쿠팡,4,접이식 좌식테이블 배송이 생각보다 빨라서 만족합니다.
RV0079,2025-10-19 09:08,신발,캔버스 스니커즈,CS 이메일,1,캔버스 스니커즈 상세페이지랑 달리 재질이 별로예요.
RV0080,2025-10-19 18:04,식품,견과류 선물세트,쿠팡,1,견과류 선물세트 상자가 파손된 채로 도착했어요.
RV0081,2025-10-20 11:47,신발,캔버스 스니커즈,자사 웹,1,캔버스 스니커즈 포장이 부실해서 배송 중 파손됐어요.
RV0082,2025-10-20 13:06,뷰티,수분 크림,쿠팡,1,수분 크림 세일가로 산 사람들보다 비싸게 사서 속상해요.
RV0083,2025-10-21 13:26,가전,무선 스틱청소기,아마존,4,무선 스틱청소기 주문한 다음 날 바로 받아서 좋았어요.
RV0084,2025-10-21 16:35,리빙,접이식 좌식테이블,쿠팡,5,접이식 좌식테이블 교환 요청했더니 바로 처리해줘서 좋았어요.
RV0085,2025-10-21 18:18,뷰티,수분 크림,아마존,1,수분 크림 완충재가 거의 없어서 놀랐습니다.
RV0086,2025-10-21 20:00,신발,캔버스 스니커즈,아마존,4,캔버스 스니커즈 포장이 꼼꼼해서 선물하기도 좋았어요.
RV0087,2025-10-23 14:44,리빙,극세사 이불세트,쿠팡,3,극세사 이불세트 배송은 예정보다 하루 늦었지만 큰 불편은 없었어요.
RV0088,2025-10-24 13:04,리빙,접이식 좌식테이블,아마존,1,접이식 좌식테이블 완충재가 거의 없어서 놀랐습니다.
RV0089,2025-10-24 18:18,가전,무선 스틱청소기,CS 이메일,5,무선 스틱청소기 교환 요청했더니 바로 처리해줘서 좋았어요.
RV0090,2025-10-24 19:15,신발,캔버스 스니커즈,CS 이메일,5,캔버스 스니커즈 튼튼하게 잘 만들어진 것 같아요.
RV0091,2025-10-24 19:57,식품,견과류 선물세트,네이버쇼핑,3,견과류 선물세트 품질은 무난한데 딱히 특별하진 않아요.
RV0092,2025-10-24 21:15,의류,슬림핏 슬랙스,아마존,4,슬림핏 슬랙스 주문한 다음 날 바로 받아서 좋았어요.
RV0093,2025-10-25 10:58,리빙,극세사 이불세트,자사 웹,4,극세사 이불세트 배송이 생각보다 빨라서 만족합니다.
RV0094,2025-10-25 12:18,식품,견과류 선물세트,쿠팡,3,견과류 선물세트 포장은 평범했어요.
RV0095,2025-10-25 14:56,신발,쿠션 러닝화,아마존,4,쿠션 러닝화 교환 요청했더니 바로 처리해줘서 좋았어요.
RV0096,2025-10-26 10:30,가전,미니 가습기,자사 웹,3,미니 가습기 CS 응답은 빠른데 안내가 좀 부족했어요.
RV0097,2025-10-26 20:34,가전,미니 가습기,쿠팡,5,미니 가습기 교환 요청했더니 바로 처리해줘서 좋았어요.
RV0098,2025-10-27 08:04,의류,슬림핏 슬랙스,쿠팡,3,슬림핏 슬랙스 CS 응답은 빠른데 안내가 좀 부족했어요.
RV0099,2025-10-28 14:11,가전,미니 가습기,쿠팡,3,미니 가습기 품질은 무난한데 딱히 특별하진 않아요.
RV0100,2025-10-28 17:51,신발,쿠션 러닝화,네이버쇼핑,5,쿠션 러닝화 교환 요청했더니 바로 처리해줘서 좋았어요.
RV0101,2025-11-01 13:40,식품,견과류 선물세트,자사 웹,5,견과류 선물세트 튼튼하게 잘 만들어진 것 같아요.
RV0102,2025-11-02 11:19,리빙,극세사 이불세트,네이버쇼핑,3,극세사 이불세트 품질은 무난한데 딱히 특별하진 않아요.
RV0103,2025-11-02 20:11,뷰티,저자극 선크림,아마존,5,저자극 선크림 생각보다 마감이 꼼꼼해서 놀랐어요.
RV0104,2025-11-03 12:06,가전,무선 스틱청소기,쿠팡,2,무선 스틱청소기 주문했는데 배송이 5일이나 늦게 왔어요.
RV0105,2025-11-03 19:17,가전,무선 스틱청소기,CS 이메일,1,무선 스틱청소기 받아보니 박스가 찌그러져서 왔습니다.
RV0106,2025-11-06 14:26,리빙,접이식 좌식테이블,CS 이메일,1,접이식 좌식테이블 세일가로 산 사람들보다 비싸게 사서 속상해요.
RV0107,2025-11-06 15:32,의류,슬림핏 슬랙스,CS 이메일,5,슬림핏 슬랙스 이 가격에 이 정도면 가성비 최고예요.
RV0108,2025-11-06 18:33,가전,무선 스틱청소기,CS 이메일,2,무선 스틱청소기 주문했는데 배송이 5일이나 늦게 왔어요.
RV0109,2025-11-07 09:34,리빙,접이식 좌식테이블,쿠팡,2,접이식 좌식테이블 며칠 쓰니까 벌써 하자가 생겼어요.
RV0110,2025-11-07 17:54,식품,견과류 선물세트,아마존,3,견과류 선물세트 가격은 딱 평균 수준인 것 같아요.
RV0111,2025-11-08 09:10,신발,캔버스 스니커즈,자사 웹,3,캔버스 스니커즈 포장은 평범했어요.
RV0112,2025-11-08 10:35,리빙,극세사 이불세트,아마존,1,극세사 이불세트 완충재가 거의 없어서 놀랐습니다.
RV0113,2025-11-09 14:12,가전,미니 가습기,네이버쇼핑,1,미니 가습기 세일가로 산 사람들보다 비싸게 사서 속상해요.
RV0114,2025-11-10 08:29,가전,무선 스틱청소기,CS 이메일,1,무선 스틱청소기 받아보니 박스가 찌그러져서 왔습니다.
RV0115,2025-11-10 11:19,신발,캔버스 스니커즈,쿠팡,5,캔버스 스니커즈 교환 요청했더니 바로 처리해줘서 좋았어요.
RV0116,2025-11-10 13:42,뷰티,수분 크림,아마존,1,수분 크림 가격 대비 품질이 아쉬워요.
RV0117,2025-11-10 19:15,식품,견과류 선물세트,CS 이메일,3,견과류 선물세트 가격은 딱 평균 수준인 것 같아요.
RV0118,2025-11-10 20:04,가전,무선 스틱청소기,쿠팡,2,무선 스틱청소기 배송 추적이 중간에 멈춰서 불안했어요.
RV0119,2025-11-11 10:59,뷰티,수분 크림,자사 웹,5,수분 크림 튼튼하게 잘 만들어진 것 같아요.
RV0120,2025-11-11 14:21,가전,무선 스틱청소기,아마존,3,무선 스틱청소기 품질은 무난한데 딱히 특별하진 않아요.
RV0121,2025-11-14 19:54,리빙,접이식 좌식테이블,아마존,3,접이식 좌식테이블 품질은 무난한데 딱히 특별하진 않아요.
RV0122,2025-11-15 22:52,가전,무선 스틱청소기,아마존,1,무선 스틱청소기 받아보니 박스가 찌그러져서 왔습니다.
RV0123,2025-11-17 09:09,신발,쿠션 러닝화,아마존,5,쿠션 러닝화 생각보다 마감이 꼼꼼해서 놀랐어요.
RV0124,2025-11-17 12:41,식품,콜드브루 원두,쿠팡,2,콜드브루 원두 완충재가 거의 없어서 놀랐습니다.
RV0125,2025-11-17 18:33,식품,견과류 선물세트,쿠팡,1,견과류 선물세트 포장이 부실해서 배송 중 파손됐어요.
RV0126,2025-11-17 18:50,가전,무선 스틱청소기,쿠팡,1,무선 스틱청소기 상자가 파손된 채로 도착했어요.
RV0127,2025-11-17 20:03,가전,무선 스틱청소기,아마존,4,무선 스틱청소기 배송이 생각보다 빨라서 만족합니다.
RV0128,2025-11-18 22:00,신발,쿠션 러닝화,자사 웹,3,쿠션 러닝화 배송은 예정보다 하루 늦었지만 큰 불편은 없었어요.
RV0129,2025-11-19 08:40,신발,캔버스 스니커즈,네이버쇼핑,3,캔버스 스니커즈 CS 응답은 빠른데 안내가 좀 부족했어요.
RV0130,2025-11-20 08:46,신발,캔버스 스니커즈,CS 이메일,5,캔버스 스니커즈 사이즈가 딱 맞고 핏이 예뻐요.
RV0131,2025-11-20 12:18,가전,무선 스틱청소기,자사 웹,1,무선 스틱청소기 주문했는데 배송이 5일이나 늦게 왔어요.
RV0132,2025-11-20 13:26,의류,데일리 후드집업,쿠팡,3,데일리 후드집업 가격은 딱 평균 수준인 것 같아요.
RV0133,2025-11-20 15:28,의류,슬림핏 슬랙스,CS 이메일,5,슬림핏 슬랙스 이 가격에 이 정도면 가성비 최고예요.
RV0134,2025-11-21 21:36,리빙,극세사 이불세트,아마존,4,극세사 이불세트 교환 요청했더니 바로 처리해줘서 좋았어요.
RV0135,2025-11-22 13:11,리빙,극세사 이불세트,자사 웹,4,극세사 이불세트 주문한 다음 날 바로 받아서 좋았어요.
RV0136,2025-11-22 13:20,의류,슬림핏 슬랙스,쿠팡,5,슬림핏 슬랙스 생각보다 마감이 꼼꼼해서 놀랐어요.
RV0137,2025-11-22 15:57,의류,데일리 후드집업,CS 이메일,1,데일리 후드집업 완충재가 거의 없어서 놀랐습니다.
RV0138,2025-11-22 20:15,가전,무선 스틱청소기,자사 웹,2,무선 스틱청소기 받아보니 박스가 찌그러져서 왔습니다.
RV0139,2025-11-23 08:51,의류,데일리 후드집업,쿠팡,2,데일리 후드집업 주문했는데 배송이 5일이나 늦게 왔어요.
RV0140,2025-11-23 22:26,뷰티,저자극 선크림,아마존,2,저자극 선크림 가격 대비 품질이 아쉬워요.
RV0141,2025-11-23 23:15,뷰티,수분 크림,쿠팡,3,수분 크림 배송은 예정보다 하루 늦었지만 큰 불편은 없었어요.
RV0142,2025-11-24 12:25,신발,쿠션 러닝화,CS 이메일,1,쿠션 러닝화 교환 문의했는데 답이 너무 늦게 왔어요.
RV0143,2025-11-24 17:01,가전,미니 가습기,네이버쇼핑,1,미니 가습기 상자가 파손된 채로 도착했어요.
RV0144,2025-11-24 18:28,가전,무선 스틱청소기,자사 웹,2,무선 스틱청소기 배송 추적이 중간에 멈춰서 불안했어요.
RV0145,2025-11-24 20:38,가전,무선 스틱청소기,쿠팡,2,무선 스틱청소기 세일가로 산 사람들보다 비싸게 사서 속상해요.
RV0146,2025-11-25 17:31,식품,콜드브루 원두,네이버쇼핑,3,콜드브루 원두 배송은 예정보다 하루 늦었지만 큰 불편은 없었어요.
RV0147,2025-11-25 17:35,가전,무선 스틱청소기,자사 웹,2,무선 스틱청소기 받아보니 박스가 찌그러져서 왔습니다.
RV0148,2025-11-26 09:20,뷰티,수분 크림,CS 이메일,2,수분 크림 주문했는데 배송이 5일이나 늦게 왔어요.
RV0149,2025-11-28 15:25,식품,견과류 선물세트,아마존,2,견과류 선물세트 교환 문의했는데 답이 너무 늦게 왔어요.
RV0150,2025-11-28 16:31,신발,캔버스 스니커즈,아마존,5,캔버스 스니커즈 포장이 꼼꼼해서 선물하기도 좋았어요.
RV0151,2025-12-01 14:49,식품,견과류 선물세트,CS 이메일,5,견과류 선물세트 포장이 꼼꼼해서 선물하기도 좋았어요.
RV0152,2025-12-01 15:35,신발,캔버스 스니커즈,아마존,5,캔버스 스니커즈 사이즈가 딱 맞고 핏이 예뻐요.
RV0153,2025-12-01 18:53,신발,쿠션 러닝화,아마존,1,쿠션 러닝화 상세페이지랑 달리 재질이 별로예요.
RV0154,2025-12-02 17:27,신발,쿠션 러닝화,네이버쇼핑,3,쿠션 러닝화 사이즈는 평소 사이즈로 주문하면 될 것 같아요.
RV0155,2025-12-02 19:16,식품,견과류 선물세트,쿠팡,5,견과류 선물세트 배송이 생각보다 빨라서 만족합니다.
RV0156,2025-12-03 11:58,뷰티,저자극 선크림,쿠팡,4,저자극 선크림 교환 요청했더니 바로 처리해줘서 좋았어요.
RV0157,2025-12-03 13:24,의류,데일리 후드집업,아마존,2,데일리 후드집업 반품 절차가 복잡해서 힘들었어요.
RV0158,2025-12-03 22:58,신발,캔버스 스니커즈,아마존,3,캔버스 스니커즈 품질은 무난한데 딱히 특별하진 않아요.
RV0159,2025-12-04 19:03,가전,무선 스틱청소기,네이버쇼핑,3,무선 스틱청소기 포장은 평범했어요.
RV0160,2025-12-04 19:58,리빙,극세사 이불세트,아마존,5,극세사 이불세트 교환 요청했더니 바로 처리해줘서 좋았어요.
RV0161,2025-12-04 22:32,리빙,접이식 좌식테이블,CS 이메일,2,접이식 좌식테이블 주문했는데 배송이 5일이나 늦게 왔어요.
RV0162,2025-12-05 08:38,리빙,극세사 이불세트,자사 웹,5,극세사 이불세트 교환 요청했더니 바로 처리해줘서 좋았어요.
RV0163,2025-12-05 14:17,리빙,접이식 좌식테이블,아마존,3,접이식 좌식테이블 가격은 딱 평균 수준인 것 같아요.
RV0164,2025-12-06 10:35,리빙,극세사 이불세트,쿠팡,1,극세사 이불세트 상자가 파손된 채로 도착했어요.
RV0165,2025-12-06 16:46,리빙,극세사 이불세트,자사 웹,4,극세사 이불세트 생각보다 마감이 꼼꼼해서 놀랐어요.
RV0166,2025-12-07 13:10,의류,데일리 후드집업,아마존,4,데일리 후드집업 사이즈가 딱 맞고 핏이 예뻐요.
RV0167,2025-12-07 20:26,가전,무선 스틱청소기,쿠팡,3,무선 스틱청소기 포장은 평범했어요.
RV0168,2025-12-08 16:05,신발,캔버스 스니커즈,네이버쇼핑,5,캔버스 스니커즈 사이즈가 딱 맞고 핏이 예뻐요.
RV0169,2025-12-09 09:12,뷰티,저자극 선크림,네이버쇼핑,2,저자극 선크림 상세페이지랑 달리 재질이 별로예요.
RV0170,2025-12-09 09:19,뷰티,수분 크림,쿠팡,2,수분 크림 상자가 파손된 채로 도착했어요.
RV0171,2025-12-09 10:53,의류,슬림핏 슬랙스,자사 웹,3,슬림핏 슬랙스 CS 응답은 빠른데 안내가 좀 부족했어요.
RV0172,2025-12-09 11:35,뷰티,수분 크림,자사 웹,3,수분 크림 배송은 예정보다 하루 늦었지만 큰 불편은 없었어요.
RV0173,2025-12-10 18:59,신발,캔버스 스니커즈,쿠팡,5,캔버스 스니커즈 포장이 꼼꼼해서 선물하기도 좋았어요.
RV0174,2025-12-11 13:58,식품,콜드브루 원두,네이버쇼핑,5,콜드브루 원두 포장이 꼼꼼해서 선물하기도 좋았어요.
RV0175,2025-12-11 17:31,뷰티,수분 크림,자사 웹,3,수분 크림 포장은 평범했어요.
RV0176,2025-12-11 21:29,가전,무선 스틱청소기,CS 이메일,3,무선 스틱청소기 품질은 무난한데 딱히 특별하진 않아요.
RV0177,2025-12-11 22:42,신발,캔버스 스니커즈,아마존,5,캔버스 스니커즈 포장이 꼼꼼해서 선물하기도 좋았어요.
RV0178,2025-12-12 11:56,뷰티,저자극 선크림,네이버쇼핑,3,저자극 선크림 배송은 예정보다 하루 늦었지만 큰 불편은 없었어요.
RV0179,2025-12-13 12:24,뷰티,수분 크림,CS 이메일,2,수분 크림 상세페이지랑 달리 재질이 별로예요.
RV0180,2025-12-13 17:30,식품,콜드브루 원두,자사 웹,4,콜드브루 원두 주문한 다음 날 바로 받아서 좋았어요.
RV0181,2025-12-14 17:23,가전,미니 가습기,네이버쇼핑,2,미니 가습기 완충재가 거의 없어서 놀랐습니다.
RV0182,2025-12-14 19:15,뷰티,수분 크림,CS 이메일,4,수분 크림 포장이 꼼꼼해서 선물하기도 좋았어요.
RV0183,2025-12-16 13:22,식품,콜드브루 원두,아마존,4,콜드브루 원두 튼튼하게 잘 만들어진 것 같아요.
RV0184,2025-12-16 18:56,의류,슬림핏 슬랙스,쿠팡,5,슬림핏 슬랙스 이 가격에 이 정도면 가성비 최고예요.
RV0185,2025-12-17 12:02,뷰티,수분 크림,네이버쇼핑,3,수분 크림 품질은 무난한데 딱히 특별하진 않아요.
RV0186,2025-12-17 13:38,식품,견과류 선물세트,아마존,3,견과류 선물세트 가격은 딱 평균 수준인 것 같아요.
RV0187,2025-12-17 13:47,의류,슬림핏 슬랙스,자사 웹,4,슬림핏 슬랙스 사이즈가 딱 맞고 핏이 예뻐요.
RV0188,2025-12-18 16:27,리빙,접이식 좌식테이블,자사 웹,2,접이식 좌식테이블 교환 문의했는데 답이 너무 늦게 왔어요.
RV0189,2025-12-19 13:29,리빙,극세사 이불세트,CS 이메일,5,극세사 이불세트 주문한 다음 날 바로 받아서 좋았어요.
RV0190,2025-12-19 17:16,가전,무선 스틱청소기,자사 웹,5,무선 스틱청소기 배송이 생각보다 빨라서 만족합니다.
RV0191,2025-12-20 14:08,리빙,접이식 좌식테이블,아마존,5,접이식 좌식테이블 튼튼하게 잘 만들어진 것 같아요.
RV0192,2025-12-20 16:51,가전,미니 가습기,CS 이메일,1,미니 가습기 반품 절차가 복잡해서 힘들었어요.
RV0193,2025-12-20 22:48,신발,쿠션 러닝화,네이버쇼핑,3,쿠션 러닝화 품질은 무난한데 딱히 특별하진 않아요.
RV0194,2025-12-20 22:58,리빙,접이식 좌식테이블,자사 웹,1,접이식 좌식테이블 며칠 쓰니까 벌써 하자가 생겼어요.
RV0195,2025-12-22 10:58,의류,데일리 후드집업,자사 웹,3,데일리 후드집업 사이즈는 평소 사이즈로 주문하면 될 것 같아요.
RV0196,2025-12-23 18:11,뷰티,수분 크림,네이버쇼핑,5,수분 크림 포장이 꼼꼼해서 선물하기도 좋았어요.
RV0197,2025-12-24 22:33,가전,미니 가습기,CS 이메일,4,미니 가습기 주문한 다음 날 바로 받아서 좋았어요.
RV0198,2025-12-26 12:30,식품,견과류 선물세트,CS 이메일,5,견과류 선물세트 교환 요청했더니 바로 처리해줘서 좋았어요.
RV0199,2025-12-26 12:43,뷰티,저자극 선크림,쿠팡,1,저자극 선크림 완충재가 거의 없어서 놀랐습니다.
